,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,42018,1628369,0041800205,"MAY 08, 2019",BOS @ MIL,L,27,3,10,0.3,1,3,0.333,7,9,0.778,1,5,6,2,0,1,3,3,14,-20,2
1,42018,1628369,0041800204,"MAY 06, 2019",BOS vs. MIL,L,35,6,14,0.429,1,5,0.2,4,5,0.8,1,9,10,4,0,2,2,1,17,2,1
2,42018,1628369,0041800203,"MAY 03, 2019",BOS vs. MIL,L,37,7,14,0.5,0,5,0.0,6,6,1.0,2,9,11,3,3,0,1,3,20,-15,1
3,42018,1628369,0041800202,"APR 30, 2019",BOS @ MIL,L,25,2,10,0.2,0,2,0.0,1,2,0.5,0,5,5,1,1,0,1,4,5,-18,1
4,42018,1628369,0041800201,"APR 28, 2019",BOS @ MIL,W,30,2,7,0.286,0,1,0.0,0,0,0.0,1,5,6,1,1,3,0,2,4,16,1
5,42018,1628369,0041800134,"APR 21, 2019",BOS @ IND,W,36,4,10,0.4,1,3,0.333,9,12,0.75,0,8,8,2,1,0,4,2,18,4,1
6,42018,1628369,0041800133,"APR 19, 2019",BOS @ IND,W,33,8,16,0.5,1,3,0.333,1,4,0.25,0,7,7,2,1,0,2,2,18,5,1
7,42018,1628369,0041800132,"APR 17, 2019",BOS vs. IND,W,39,11,20,0.55,3,6,0.5,1,1,1.0,1,3,4,2,1,0,2,3,26,8,1
8,42018,1628369,0041800131,"APR 14, 2019",BOS vs. IND,W,34,6,11,0.545,3,3,1.0,0,0,0.0,1,2,3,0,2,1,3,1,15,11,1
